deliverer_mmsi,receiver_mmsi,lon,lat,speed,course,source_deliverer,dest_deliverer,source_receiver,dest_receiver,suspiciousness_duration
273445330,354579000,47.92108,44.07450,6.4 Knots,301.4,russia,KZ AKTAU,panama,BALBOA PANAMA,1
273347300,565576000,36.55694,45.10866,-1,285,russia,ARTRAKHAN,singapore,singapore,1
273426530,567593000,36.54278,45.09865,-1,278,russia,KAVKAZ,japan,&gt;JP CHB OFF,1
273350170,511100572,28.35954,59.69384,0.4 Knots,324,russia,RU ULU,egypt,egypt,1
273276100,352898732,38.19026,44.32498,6.4 Knots,115.3,russia,russia,taiwan,japan,1
273345500,441858000,36.71520,45.47150,7.5 Knots,27.2,russia,ukraine,korea,indonesia,1
273445840,273356090,36.56558,45.09863,-1,---,russia,KAVKAZ,russia,russia,1
273346600,620992000,36.53086,45.10087,0.1 Knots,335,russia,KAVKAZ,Unknown,lebanon,1
273431710,244740491,36.55156,45.10029,0.1 Knots,86,russia,russia,netherlands,netherlands,1
273342900,533132042,47.99764,46.42221,-1,302,russia,russia,malaysia,PTP,1
273270100,412476420,36.54342,45.18021,-1,206,russia,SAMARA,taiwan,china,1
273454890,533132198,33.08484,69.05634,9.8 Knots,71,russia,russia,malaysia,malaysia,1
312731000,525500252,103.59713,1.20454,10.5 Knots,283.5,russia,&gt;BANGLADES,indonesia,Unknown,1
273346500,212123000,36.56016,45.09299,-1,229,russia,russia,sweden,belgium,1
273357420,565140000,30.03515,59.91459,8.1 Knots,111.5,russia,russia,singapore,ASPP,1
273334730,477996496,---,---,-1,---,russia,PODTYOSOVO,hong-kong,hong-kong,1
273164300,273396300,132.92154,42.79374,0.4 Knots,39,russia,russia,russia,GORODEC-KSTOVO,1
273390400,636013478,44.23592,56.16123,8.9 Knots,100.1,russia,AKSAI,qatar,qatar,1
273347400,211442250,36.95567,45.79642,7.5 Knots,22.8,russia,KASHPIR&gt;&gt;,germany,netherlands,1
273357420,525007033,30.03515,59.91459,8.1 Knots,111.5,russia,russia,indonesia,indonesia,1
273312850,518100355,33.05722,69.04300,7.4 Knots,14,russia,ARKHANGELSK,singapore,singapore,1
273359560,574001880,28.99616,43.96990,-1,225,russia,TO ORDER,malaysia,NIPAH IND,1
273433590,356600000,36.50588,45.05859,8.1 Knots,358.1,russia,russia,korea,KR TSN,1
273324600,235089284,43.60407,56.51636,3.9 Knots,339,russia,GORODEC,united-kingdom,belgium,1
273343900,567559000,36.51864,45.16891,4.6 Knots,338,russia,russia,thailand,thailand,1
273438670,256996000,36.50829,45.06235,7.5 Knots,3.6,russia,NWBS,greece,greece,1
273350780,533132041,50.18632,41.19212,5.8 Knots,337,russia,russia,malaysia,PORT KLANG,1
273356510,413451460,37.56100,44.56236,8.3 Knots,297.2,russia,RU AZOV,china,china,1
273437920,525024128,28.35939,60.46881,5.6 Knots,36.7,russia,VISOTSK,indonesia,VN-NGH,1
273378580,266468000,133.50937,42.74950,6.1 Knots,353.5,russia,SHIKOTAN,germany,sweden,1
273361100,563089200,36.53603,45.18456,-1,135,russia,KAVKAZ,taiwan,KR TSN/OPL,1
273431390,565709000,36.59708,44.85995,0.2 Knots,60,russia,RU ROS,singapore,singapore,1
273340600,248751000,29.97421,59.92694,7.7 Knots,111.7,russia,YROSLAVL',belgium,united-kingdom,1
273357610,667001779,28.41086,59.69051,2.6 Knots,88,russia,russia,korea,korea,1
273350660,273383500,28.95960,43.98859,-1,202,russia,FOR ORDERS,Unknown,PELEDYI=&gt;&gt;&gt;,1
273347630,244660649,36.53133,45.13180,-1,---,russia,russia,netherlands,netherlands,1
273376490,413282560,33.02503,68.95214,-1,10,russia,russia,Unknown,china,1
273351430,565685000,28.84501,40.95094,-1,103,russia,TANGER,singapore,singapore,1
273347400,264163386,36.95567,45.79642,7.5 Knots,22.8,russia,KASHPIR&gt;&gt;,romania,romania,1
