name,MMSI,IMO,country
SYNTHESE 10,0,9223045,Unknown
DETTMER TANK 122,0,9802750,Germany
DETTMER TANK 120,0,9802748,Germany
CHOPIN,0,9740988,Belgium
MT.ARSENAL,457479000,9058880,Mongolia
IZUMI MARU NO.22,431004011,9644768,Japan
IZUMIMARUNO.17,431602307,9368089,Japan
ECOMAL 2,261198000,7704057,Poland
REBUN MARU NO.3,431004095,9658317,Japan
UNICOM 3,264900073,8317447,Romania
QUATRO AMIGOS,0,9354026,Unknown
KAROL WOJTYLA,677045600,9016454,Tanzania
SALAM,0,9017147,Unknown
RODOS,0,7916820,Togolese Rep
TAIYO MARU,431004884,9671280,Japan
SILVER HONOUR,0,8921858,Malaysia
TAI HUNG,416384000,8890786,Taiwan
EIWA MARU,431101045,9296729,Japan
SHUN CHANG .,667001975,9036569,Sierra Leone
SHOKO MARU,0,9124861,Japan
ZEOS,271049387,9933743,Turkey
VICE 2,271044285,9763370,Turkey
MISR 1,622123408,9763368,Egypt
DEMRE 8,271046367,9785005,Turkey
GOLDENSOURCE 01,477995249,9625358,Hong Kong
ECOMAL,261199000,8026440,Poland
MEIWA MARU,0,8804816,Unknown
BAO SHAN I,0,8966418,Taiwan
SAMBU,0,7629659,Indonesia
GIANNIS C,0,7208699,Togolese Rep
MT.SHAFIYAH,525006108,9079664,Indonesia
ORIENTAL,273356730,9054638,Russia
MT.BASHUNDHARA LPG 6,457900437,9132882,Mongolia
AEGEAN DOLPHIN,240132000,8008486,Greece
BAO SHAN 2,416013800,8732879,Taiwan
STAR,0,7911131,Unknown
MT BREAKSEA,657354000,8416463,Nigeria
M.T.MIB1,341868000,8806321,St Kitts & Nevis
ALVER,677077900,8805224,Tanzania
ZEPHANIAH SUCCESS,0,8416475,Unknown
SALVATUR,249000066,6823131,Malta
ALSANCAK 2,271042562,9592496,Turkey
YILDIZ BURNU,271042475,9592484,Turkey
PILATUS 15,0,8608638,Thailand
VELOCITY ONE,563031300,9817652,Singapore
VICTORY,613003408,7128227,Cameroon
MT.SOECHI PRESTASI,525019132,9036739,Indonesia
COSMIC 11,0,8514019,Indonesia
ECOMAR II,671199100,7735381,Togolese Rep
PILATUS 54,567002710,9157583,Thailand
HAKUYOMARU,431005527,9713521,Japan
LPGC AMELIA 2,525022064,8605090,Indonesia
CHANG DA 1,0,8916085,Palau
ERICA 9,525023229,9020845,Indonesia
PACIFIC SINCERE,563005270,9032252,Singapore
KAYA BENER,0,9564621,Turkey
SAN POLO,247280900,9587805,Italy
DANAI 4,0,8613530,Thailand
CITRA BAHARI NSNTR 2,525006037,9062465,Indonesia
ARDENT,566417000,9649134,Singapore
CARNIVAL,0,7638765,Sierra Leone
ESTEEM,566611000,9651125,Singapore
ANNA,273430480,8013730,Russia
ROSANNA A,247508000,6717526,Italy
BPP19,567035400,8617512,Thailand
UNITED X,0,9548172,Indonesia
SEVERYANKA,273449020,8929472,Russia
VLADIMIR SHUMAKOV,0,8923624,Russia
PARIS VL,0,8870906,Mongolia
GOGLAND,273458950,8867973,Russia
MARS,0,8924264,Ukraine
DANAI 6,0,9009774,Unknown
DIVINE FAVOUR,0,8703127,Nigeria
LAMAR,0,6620034,Unknown
ENERGIA 1,323113000,9714836,Cuba
PROMISE,533150064,9036155,Malaysia
HAKUYO MARU,0,7809182,Unknown
URLA 1,271040189,9490430,Turkey
IOANNIS 1,239503000,7616054,Greece
SRI PHANG NGA SPN,567040100,8712257,Thailand
THE ARROW,0,7423914,Panama
MACLEAY,503016010,9654737,Australia
MOWAMBA,503014310,9654725,Australia
MCARTHUR,503014290,9654713,Australia
NECOM,247223700,5271367,Italy
NOK NAN NUM 19,0,7903304,Thailand
BINTANG,0,7706615,Unknown
MT.PANGERAN,525020005,7714820,Indonesia
BROADVIEW,511456000,8500501,Palau
SPIRO F,248047000,6820842,Malta
MT EDRICKO 1,525015113,8223505,Indonesia
PEREYE 1,0,6906165,Nigeria
CLEANSEAS PROGRESS,563283000,9677480,Singapore
BIRYUCHIY,0,8931566,Ukraine
DVINA,273152800,8899782,Russia
CAPTAIN KHAYYAM,0,8927814,Unknown
ANTARES,0,9030450,Unknown
KEOYOUNG SUN5,440736000,9321794,Korea
KEILA,0,8845250,Russia
NEVA LUX,273426540,6921751,Russia
DALNEGORSK,0,8923662,Russia
TOUFIK MASSRY,0,6904296,Unknown
MARINE UNIQUE,563024400,9817664,Singapore
AURA,0,8846864,Russia
NAFTA,276260000,8853946,Estonia
ANNEZOULA,0,8890231,Greece
MERSEY ENDURANCE,235099933,9568122,United Kingdom (UK)
GLENNSTAR,0,6903498,Cook Islands
KEOYOUNG SUN,440554000,9146924,Korea
KOLIN 2,0,8622517,Turkey
IRIS,209969000,9594119,Cyprus
CLAUDIA,211750690,9280110,Germany
KORANGI,0,5406182,Bangladesh
DON,0,8974049,Unknown
MARINE PRIORITY,564780000,8814122,Singapore
BENJAMIN NEVILLE,548593200,9695858,Philippines
PROSPER 8,565923000,9139957,Singapore
YAKIT II,0,8421779,Turkey
OKIKI,0,6722284,Nigeria
PETTY,667001531,9083550,Sierra Leone
FEYZA NUR,271042975,7326178,Turkey
ATHEL,0,7413220,Trinidad & Tobago
MARIA SOLTIN,0,7203699,Nigeria
LERRIX,235090927,9599377,United Kingdom (UK)
ABALON,548351200,8990536,Philippines
AGIOS NEKTARIOS,0,8989343,Greece
PETROIL II,345080049,5411761,Mexico
HILDA,0,8857590,Russia
MRM V,0,9046928,Unknown
KOHYLI,241675000,9823651,Greece
ASTERIAS,236737000,9823649,Gibraltar
ZEYNEBIM,0,7127211,Turkey
SPOB.HBI.BAHTERA.01.,525021118,8738081,Indonesia
JS DESIRE,0,7822342,Nigeria
AGAMEMNON,207133000,6817857,Bulgaria
DOEL,0,7534878,Bangladesh
MT. SAMUGARA 27,525009086,9058854,Indonesia
ABIGAIL,273318420,8411463,Russia
MT.KUSUMA 1,525003128,8503632,Indonesia
STERLING ENERGY,316024041,9277058,Canada
SYUNYOMARU,431301663,9266815,Japan
FUKUSHO MARU,431402051,9402380,Japan
KAMITAKA MARU,431005439,9699402,Japan
SACHI MARU,431005055,9687643,Japan
NADESHIKO MARU,431000393,9470715,Japan
KOUSIN MARU NO.15,431501727,9277876,Japan
EISEKI,431501663,9239678,Japan
BO KWANG TIARA,440323340,8952493,Korea
MICHIKO,525100679,9282455,Indonesia
SONGRIM HO,440500300,9323601,Korea
NISSHO MARU NO.18,431101028,9078206,Japan
CHOTETANASIN,567002870,9135133,Thailand
TENRYUMARU NO.5,431000715,9517953,Japan
PEGAS,273359960,9078983,Russia
TAIRAMARU,431001045,9553098,Japan
NUSANUR 2,0,9048598,Indonesia
TOEI MARU,431000622,9494979,Japan
SUN BIRDIE,0,9073256,Malaysia
TOUNAN MARU,431001357,9554468,Japan
PHOENIX II,273356770,8603638,Russia
VICTORIA STRIKE,631717053,8810982,Equatorial Guinea
PATROKL,273332710,9012276,Russia
OCEAN PRINCE,631805011,8304012,Equatorial Guinea
ZHONG HE,0,8808006,Belize
ORIENTAL HARVEST,0,9009982,Unknown
ORIENT,273346860,9061617,Russia
YAROMIR,273345530,8921298,Russia
AYAKS,273342510,8708945,Russia
CRYSTAL,273340120,9009841,Russia
ARLY KEN,0,8840145,Unknown
TAI YI,0,9009592,Taiwan
HIRO,0,8911580,Unknown
STO VIOLET,441739000,9046590,Korea
MARGARETTE,0,8500513,Unknown
RUSLAN,273316050,8510051,Russia
STRAITS COURAGEOUS,457364000,8704262,Mongolia
CHELSEA EXCELLENCE,548362000,9253935,Philippines
LIBRA,0,9009970,Malaysia
ASEAN LINK,0,9054339,Unknown
PROGRESS 5,0,8820573,Malaysia
TRUZHENIK,273332070,9100451,Russia
YAROBOR,273337310,9084944,Russia
CLEANSEAS MOKARA,565241000,9088146,Singapore
UNI CRYSTAL,533180027,9118927,Malaysia
TORA EAGLE,0,7721354,Unknown
CHRISTO,0,6923981,Nigeria
MT.KENCANA EXPRESS,525120010,8905189,Indonesia
FJORDTANK,0,8604448,Panama
SUN OIL I,0,8861694,Unknown
MT DE PRAISE,657390000,7118894,Nigeria
ECOSERVICE,613462000,8604228,Cameroon
CIVICMARINA 4,0,9066320,Thailand
HIAWATHA,0,6925290,Philippines
HY CHAMPION,566382000,9627655,Singapore
DRINA,565838000,9705677,Singapore
ELBE,564406000,9705665,Singapore
HY PROSPER,566511000,9627667,Singapore
HY TALENT,566702000,9664536,Singapore
SEA FORTITUDE,563073220,9705689,Singapore
HY CRYSTAL,566751000,9665035,Singapore
HY JADE,563336000,9678654,Singapore
HY AMBER,564167000,9678666,Singapore
HY EMERALD,566982000,9676307,Singapore
KORF,273350490,9054030,Russia
XELO,631010034,7618272,Equatorial Guinea
MIUS,273440370,7615610,Russia
SHOGUN,0,7626542,Philippines
SUPREME,564412000,9590395,Singapore
EMINENCE,565894000,9542128,Singapore
RODNIK,0,7011060,Ukraine
NADEZHDA,0,8827715,Russia
COMMITMENT,563057800,9834882,Singapore
P. SUDSAKORN 3,0,7929736,Thailand
MAST,566200000,9626209,Singapore
BASHUNDHARA LPG 1,0,9854416,Bangladesh
BASHUNDHARA LPG 2,0,9854428,Bangladesh
JAMRUD SELATAN,0,8712893,Indonesia
MINOR 2,0,9839258,Germany
ECO FRIEND,241616000,9032226,Greece
