lon,lat,speed,timestamp,course,mmsi,source_port,dest_port
103.98824,1.23610,7.7 Knots,2021-06-01 03:52,74.5,457479000,Unknown,OPL
134.34720,34.41491,13.3 Knots,2022-09-23 12:04,261.8,431004011,japan,&gt;JP MIZ-B
134.36274,34.41537,12.4 Knots,2022-09-01 15:21,250.9,431602307,japan,&gt;JP SKD OFF
18.66173,54.38027,-1,2022-09-25 00:49,---,261198000,poland,poland
140.73046,40.83575,-1,2022-09-25 00:54,305,431004095,japan,japan
28.65054,44.16566,-1,2022-09-25 00:55,---,264900073,romania,romania
36.64063,44.88210,0.2 Knots,2022-09-18 05:20,131,677045600,Unknown,TO ORDER
140.71233,35.47928,11.4 Knots,2022-09-12 06:11,37,431004884,japan,&gt;JP SGM OFF
120.17213,22.67154,12.3 Knots,2021-12-15 14:15,326.1,416384000,taiwan,KHH
134.39202,34.35460,13.1 Knots,2022-09-09 19:28,290,431101045,japan,&gt;JP MIZ T MW  OFF
121.51055,25.55543,6.4 Knots,2020-12-17 09:40,33,667001975,taiwan,KAOHSIUNG TWM
28.95745,40.99885,-1,2022-09-25 00:54,---,271049387,turkey,turkey
29.62851,40.77429,-1,2022-09-25 00:55,---,271044285,turkey,BUNKER
32.52996,29.95362,0.1 Knots,2022-09-25 00:55,---,622123408,egypt,egypt
28.91349,40.96959,8.1 Knots,2022-09-24 16:52,231,271046367,turkey,Unknown
114.09306,22.32549,0.1 Knots,2022-09-25 00:55,---,477995249,hong-kong,HCNG KCNG
18.66197,54.38112,-1,2022-09-25 00:53,---,261199000,poland,poland
106.98161,-5.88819,10.7 Knots,2022-01-24 16:50,34.7,525006108,indonesia,KOBI SADAR
133.41536,42.70784,10 Knots,2022-05-01 08:33,74.6,273356730,russia,russia
100.41000,4.16113,12.5 Knots,2019-04-30 07:44,341,457900437,bangladesh,BDMONGLA
23.53278,38.03770,-1,2022-09-25 00:55,357,240132000,greece,greece
120.30172,22.58488,-1,2022-09-25 00:13,---,416013800,Unknown,taiwan
3.39034,6.38262,0.1 Knots,2021-06-23 14:28,---,657354000,Unknown,ALPHA ANCH
57.14607,25.65810,3.9 Knots,2022-06-18 13:43,148.2,341868000,oman,oman
29.28532,40.85229,-1,2022-01-22 16:40,---,677077900,Unknown,turkey
14.53744,35.90155,7.9 Knots,2022-09-24 20:54,268.9,249000066,malta,MALTA
28.89042,40.95840,1.4 Knots,2022-09-25 00:55,103,271042562,turkey,turkey
28.88906,40.96537,-1,2022-09-25 00:55,115,271042475,turkey,turkey
103.80997,1.23267,2 Knots,2022-09-25 00:55,---,563031300,singapore,Unknown
26.85665,34.08158,8.4 Knots,2022-09-17 20:16,275.9,613003408,libya,malta
116.88903,-1.32840,9 Knots,2022-06-05 13:57,94,525019132,indonesia,JAKARTA
-77.17674,-12.00728,0.3 Knots,2021-12-29 17:06,---,671199100,peru,CALLAO
